Get Out|7.80
Mulholland Drive |8.50
Breadwinner|8.00
First Man|8.00
Cloud Atlas |5.00
In the Mood For Love|8.50
Donnie Darko|7.50
The Favourite|7.70
Isle of Dogs|8.00
Big Trouble in Little China|8.50
I, Tonya|8.50
Fellowship of the Ring|8.80
The Two Towers|8.90
The Return of the King|9.00
Enter the Dragon|8.00
Three Colours: Blue|8.20
Three Colours: White|7.50
Three Colours: Red|8.70
HANA-BI|8.80
Amour|9.20
They Shall Not Grow Old|8.30
Yojimbo|9.00
EuroTrip|3.90
Raging Bull|8.40
Hard to Be a God|3.50
The Assassination of Jesse James|7.20
Breathless |8.40
Invader Zim: Enter the Florpus|6.90
Casino|8.10
Long Day's Journey into Night|8.80
A City of Sadness|8.00
Hey Ram|6.90
Nausicaä of the Valley of the Wind|9.00
THX1138|6.50
Hunt for the Wilderpeople|8.70
Waltz with Bashir|8.30
Cabin in the Woods|8.20
The Man From Earth|7.00
It's a Wonderful Life|8.00
Monos|7.50
The Intouchables|6.30
Koyaaniqatsi|4.00
Taipei Story|8.80
Holy Motors|8.50
Contagion|6.00
Rounders|5.00
Shoplifters|8.00
Playtime|7.50
Bad Genius|7.50
Brokeback Mountain|8.50
The Burial of Kojo|7.70
Ugetsu Monogatari|9.00
Ida|8.70
Hero|7.80
Rope|8.30
Full Metal Jacket|7.70
Aguirre, the Wrath of God|9.20
Furious 7|7.50
Midsommar|9.00
Trial on the Road|6.50
Rebels of the Neon God|8.60
Kin-dza-dza!|8.60
Portrait of a Lady on Fire|8.60
Hamilton|9.00
The Good, the Bad and the Ugly|8.50
Incendies|8.50
Repo Man|8.50
Werckmeister Harmonies|6.80
Red Cliff Pt 1|5.80
Shin Godzilla|9.00
Oldboy|9.30
Fruitvale Station|6.00
Woman in the Dunes|9.00
A Land Imagined|6.90
Pickpocket|8.50
Nocturnal Animals|7.50
The Queen|7.50
Birth|6.00
The Goonies|6.00
The Wages of Fear|8.00
Soul|8.50
The Devil Wears Prada|5.50
When Marnie Was There|8.60
Jalsaghar|7.50
Paprika|9.00
