Get Out|8.50
Mulholland Drive|9.30
Breadwinner|7.50
First Man|8.40
Cloud Atlas|7.10
In the Mood for Love|9.00
Donnie Darko|7.70
The Favourite|8.70
Isle of Dogs|8.10
Big Trouble in Little China|8.20
I, Tonya|8.10
The Lord of the Rings: The Fellowship of the Ring|8.70
The Lord of the Rings: The Two Towers|8.60
The Lord of the Rings: The Return of the King|9.08
Enter the Dragon|6.20
Three Colors: Blue|8.80
Three Colors: White|8.40
Three Colors: Red|9.60
Fireworks|5.00
Amour|9.10
They Shall Not Grow Old|8.70
Yojimbo|9.00
EuroTrip|5.50
Raging Bull|8.40
Hard to Be a God|9.50
The Assassination of Jesse James by the Coward Robert Ford|7.50
North by Northwest|9.00
Invader ZIM: Enter the Florpus|6.00
Casino|7.60
Long Day's Journey Into Night|8.70
A City of Sadness|6.90
Hey Ram|7.60
Nausicaä of the Valley of the Wind|8.50
THX 1138|6.40
Hunt for the Wilderpeople|8.30
Waltz with Bashir|9.30
Cabin in the Woods|8.30
The Man from Earth|8.40
It's a Wonderful Life|8.60
Monos|8.80
The Intouchables|6.40
Koyaanisqatsi|1.00
Taipei Story|8.30
Holy Motors|8.60
Contagion|4.90
Rounders|5.90
Shoplifters|9.10
Playtime|9.30
Bad Genius|6.20
Brokeback Mountain|8.60
The Burial of Kojo|8.60
Ugetsu|8.40
Ida|9.20
Hero|7.40
Rope|	8.1
Full Metal Jacket|8.60
Aguirre, the Wrath of God|8.30
Furious 7|5.90
Midsommar|7.90
Trial on the Road|7.60
Rebels of the Neon God|8.30
Kin-dza-dza!|7.90
Portrait of a Lady on Fire|9.30
Hamilton The Musical|9.20
The Good, the Bad and the Ugly|8.40
Incendies|8.60
Repo Man|7.30
Werckmeister Harmonies|9.30
Red Cliff|5.90
Shin Godzilla|7.50
Oldboy|8.80
Fruitvale Station|7.50
Woman in the Dunes|9.10
Huan tu|7.20
Pickpocket|8.70
Nocturnal Animals|7.60
The Queen|8.60
Birth|7.10
The Goonies|5.80
Sorcerer|8.70
Soul|9.00
The Devil Wears Prada|7.60
When Marnie Was There|8.40
The Music Room|8.60
Paprika|9.20
